Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,203.440002,205.139999,202.500000,204.190002,204.190002,15495600
2020-02-04,206.619995,210.600006,205.199997,209.830002,209.830002,19628900
2020-02-05,212.509995,212.729996,208.710007,210.110001,210.110001,12538200
2020-02-06,210.470001,211.190002,209.339996,210.850006,210.850006,10567500
2020-02-07,210.300003,212.820007,209.929993,212.330002,212.330002,12242500
2020-02-10,211.520004,213.800003,210.660004,213.059998,213.059998,11856400
2020-02-11,210.190002,210.860001,206.509995,207.190002,207.190002,25030800
2020-02-12,207.850006,211.220001,207.399994,210.759995,210.759995,13813700
2020-02-13,209.520004,214.330002,209.179993,213.139999,213.139999,15396600
2020-02-14,214.000000,214.929993,212.649994,214.179993,214.179993,10741700
2020-02-18,213.550003,217.979996,213.399994,217.800003,217.800003,15609200
2020-02-19,217.990005,218.320007,216.110001,217.490005,217.490005,12135100
2020-02-20,216.520004,218.770004,212.949997,214.580002,214.580002,13109200
2020-02-21,213.479996,214.240005,208.830002,210.179993,210.179993,14092300
2020-02-24,201.800003,203.649994,198.169998,200.720001,200.720001,23080100
2020-02-25,202.250000,203.500000,195.949997,196.770004,196.770004,21433500
2020-02-26,197.190002,201.210007,195.490005,197.199997,197.199997,16524500
2020-02-27,191.820007,195.880005,189.500000,189.750000,189.750000,21682600
2020-02-28,182.699997,192.740005,181.820007,192.470001,192.470001,32568900
2020-03-02,194.029999,196.570007,188.850006,196.440002,196.440002,24949000
2020-03-03,196.220001,197.240005,183.970001,185.889999,185.889999,27984100
2020-03-04,189.169998,191.830002,186.389999,191.759995,191.759995,23062500
2020-03-05,186.779999,188.990005,183.889999,185.169998,185.169998,19333400
2020-03-06,178.330002,183.779999,176.259995,181.089996,181.089996,24559600
2020-03-09,169.600006,175.000000,165.190002,169.500000,169.500000,29949000
2020-03-10,174.669998,178.289993,169.500000,178.190002,178.190002,24517800
2020-03-11,174.009995,175.880005,167.660004,170.240005,170.240005,20373900
2020-03-12,159.539993,166.600006,154.339996,154.470001,154.470001,43266300
2020-03-13,163.529999,170.789993,157.600006,170.279999,170.279999,35028600
2020-03-16,152.320007,159.130005,143.100006,146.009995,146.009995,39120400
2020-03-17,150.740005,153.940002,140.000000,149.419998,149.419998,34255600
2020-03-18,139.750000,148.179993,137.100006,146.960007,146.960007,37553100
2020-03-19,146.619995,159.929993,144.800003,153.130005,153.130005,39862300
2020-03-20,156.020004,159.270004,148.000000,149.729996,149.729996,32568400
2020-03-23,149.660004,152.309998,142.250000,148.100006,148.100006,29830800
